LetterThickness_200,LetterThickness_150,LetterThickness_100,LetterThickness_75,LetterSize_200,LetterSize_150,LetterSize_100,SpaceBetweenLetter_200,SpaceBetweenLetter_150,SpaceBetweenLetter_100,NumberofStation_3,NumberofStation_2,NumberofStation_1,Rank
1,0,0,0,0,1,0,0,1,0,0,1,0,2
0,1,0,0,0,0,1,1,0,0,0,1,0,7
0,0,0,1,1,0,0,0,1,0,0,0,1,13
1,0,0,0,0,0,1,0,0,1,0,0,1,1
0,0,0,1,0,0,1,0,1,0,0,1,0,14
0,0,0,1,0,1,0,1,0,0,0,0,1,15
0,0,1,0,0,0,1,0,1,0,1,0,0,8
0,0,0,1,0,1,0,0,0,1,1,0,0,11
0,0,0,1,1,0,0,0,0,1,1,0,0,12
0,0,1,0,1,0,0,0,0,1,0,1,0,10
0,1,0,0,0,0,1,1,0,0,1,0,0,5
0,0,1,0,0,1,0,1,0,0,0,0,1,9
0,1,0,0,0,1,0,0,0,1,1,0,0,3
0,1,0,0,0,1,0,0,0,1,0,1,0,4
0,0,0,1,0,0,1,1,0,0,0,1,0,16
0,1,0,0,1,0,0,0,1,0,0,0,1,6
1,0,0,0,0,1,0,0,1,0,0,1,0,7
0,1,0,0,0,0,1,1,0,0,0,1,0,3
0,0,0,1,1,0,0,0,1,0,0,0,1,16
1,0,0,0,0,0,1,0,0,1,0,0,1,1
0,0,0,1,0,0,1,0,1,0,0,1,0,6
0,0,0,1,0,1,0,1,0,0,0,0,1,13
0,0,1,0,0,0,1,0,1,0,1,0,0,4
0,0,0,1,0,1,0,0,0,1,1,0,0,11
0,0,0,1,1,0,0,0,0,1,1,0,0,15
0,0,1,0,1,0,0,0,0,1,0,1,0,14
0,1,0,0,0,0,1,1,0,0,1,0,0,2
0,0,1,0,0,1,0,1,0,0,0,0,1,10
0,1,0,0,0,1,0,0,0,1,1,0,0,8
0,1,0,0,0,1,0,0,0,1,0,1,0,9
0,0,0,1,0,0,1,1,0,0,0,1,0,5
0,1,0,0,1,0,0,0,1,0,0,0,1,12
1,0,0,0,0,1,0,0,1,0,0,1,0,2
0,1,0,0,0,0,1,1,0,0,0,1,0,7
0,0,0,1,1,0,0,0,1,0,0,0,1,13
1,0,0,0,0,0,1,0,0,1,0,0,1,1
0,0,0,1,0,0,1,0,1,0,0,1,0,14
0,0,0,1,0,1,0,1,0,0,0,0,1,15
0,0,1,0,0,0,1,0,1,0,1,0,0,8
0,0,0,1,0,1,0,0,0,1,1,0,0,11
0,0,0,1,1,0,0,0,0,1,1,0,0,12
0,0,1,0,1,0,0,0,0,1,0,1,0,10
0,1,0,0,0,0,1,1,0,0,1,0,0,5
0,0,1,0,0,1,0,1,0,0,0,0,1,9
0,1,0,0,0,1,0,0,0,1,1,0,0,3
0,1,0,0,0,1,0,0,0,1,0,1,0,4
0,0,0,1,0,0,1,1,0,0,0,1,0,16
0,1,0,0,1,0,0,0,1,0,0,0,1,6
1,0,0,0,0,1,0,0,1,0,0,1,0,7
0,1,0,0,0,0,1,1,0,0,0,1,0,3
0,0,0,1,1,0,0,0,1,0,0,0,1,16
1,0,0,0,0,0,1,0,0,1,0,0,1,1
0,0,0,1,0,0,1,0,1,0,0,1,0,6
0,0,0,1,0,1,0,1,0,0,0,0,1,13
0,0,1,0,0,0,1,0,1,0,1,0,0,4
0,0,0,1,0,1,0,0,0,1,1,0,0,11
0,0,0,1,1,0,0,0,0,1,1,0,0,15
0,0,1,0,1,0,0,0,0,1,0,1,0,14
0,1,0,0,0,0,1,1,0,0,1,0,0,2
0,0,1,0,0,1,0,1,0,0,0,0,1,10
0,1,0,0,0,1,0,0,0,1,1,0,0,8
0,1,0,0,0,1,0,0,0,1,0,1,0,9
0,0,0,1,0,0,1,1,0,0,0,1,0,5
0,1,0,0,1,0,0,0,1,0,0,0,1,12
1,0,0,0,0,1,0,0,1,0,0,1,0,2
0,1,0,0,0,0,1,1,0,0,0,1,0,7
0,0,0,1,1,0,0,0,1,0,0,0,1,13
1,0,0,0,0,0,1,0,0,1,0,0,1,1
0,0,0,1,0,0,1,0,1,0,0,1,0,14
0,0,0,1,0,1,0,1,0,0,0,0,1,15
0,0,1,0,0,0,1,0,1,0,1,0,0,8
0,0,0,1,0,1,0,0,0,1,1,0,0,11
0,0,0,1,1,0,0,0,0,1,1,0,0,12
0,0,1,0,1,0,0,0,0,1,0,1,0,10
0,1,0,0,0,0,1,1,0,0,1,0,0,5
0,0,1,0,0,1,0,1,0,0,0,0,1,9
0,1,0,0,0,1,0,0,0,1,1,0,0,3
0,1,0,0,0,1,0,0,0,1,0,1,0,4
0,0,0,1,0,0,1,1,0,0,0,1,0,16
0,1,0,0,1,0,0,0,1,0,0,0,1,6
1,0,0,0,0,1,0,0,1,0,0,1,0,7
0,1,0,0,0,0,1,1,0,0,0,1,0,3
0,0,0,1,1,0,0,0,1,0,0,0,1,16
1,0,0,0,0,0,1,0,0,1,0,0,1,1
0,0,0,1,0,0,1,0,1,0,0,1,0,6
0,0,0,1,0,1,0,1,0,0,0,0,1,13
0,0,1,0,0,0,1,0,1,0,1,0,0,4
0,0,0,1,0,1,0,0,0,1,1,0,0,11
0,0,0,1,1,0,0,0,0,1,1,0,0,15
0,0,1,0,1,0,0,0,0,1,0,1,0,14
0,1,0,0,0,0,1,1,0,0,1,0,0,2
0,0,1,0,0,1,0,1,0,0,0,0,1,10
0,1,0,0,0,1,0,0,0,1,1,0,0,8
0,1,0,0,0,1,0,0,0,1,0,1,0,9
0,0,0,1,0,0,1,1,0,0,0,1,0,5
0,1,0,0,1,0,0,0,1,0,0,0,1,12
1,0,0,0,0,1,0,0,1,0,0,1,0,2
0,1,0,0,0,0,1,1,0,0,0,1,0,7
0,0,0,1,1,0,0,0,1,0,0,0,1,13
1,0,0,0,0,0,1,0,0,1,0,0,1,1
0,0,0,1,0,0,1,0,1,0,0,1,0,14
0,0,0,1,0,1,0,1,0,0,0,0,1,15
0,0,1,0,0,0,1,0,1,0,1,0,0,8
0,0,0,1,0,1,0,0,0,1,1,0,0,11
0,0,0,1,1,0,0,0,0,1,1,0,0,12
0,0,1,0,1,0,0,0,0,1,0,1,0,10
0,1,0,0,0,0,1,1,0,0,1,0,0,5
0,0,1,0,0,1,0,1,0,0,0,0,1,9
0,1,0,0,0,1,0,0,0,1,1,0,0,3
0,1,0,0,0,1,0,0,0,1,0,1,0,4
0,0,0,1,0,0,1,1,0,0,0,1,0,16
0,1,0,0,1,0,0,0,1,0,0,0,1,6
1,0,0,0,0,1,0,0,1,0,0,1,0,7
0,1,0,0,0,0,1,1,0,0,0,1,0,3
0,0,0,1,1,0,0,0,1,0,0,0,1,16
1,0,0,0,0,0,1,0,0,1,0,0,1,1
0,0,0,1,0,0,1,0,1,0,0,1,0,6
0,0,0,1,0,1,0,1,0,0,0,0,1,13
0,0,1,0,0,0,1,0,1,0,1,0,0,4
0,0,0,1,0,1,0,0,0,1,1,0,0,11
0,0,0,1,1,0,0,0,0,1,1,0,0,15
0,0,1,0,1,0,0,0,0,1,0,1,0,14
0,1,0,0,0,0,1,1,0,0,1,0,0,2
0,0,1,0,0,1,0,1,0,0,0,0,1,10
0,1,0,0,0,1,0,0,0,1,1,0,0,8
0,1,0,0,0,1,0,0,0,1,0,1,0,9
0,0,0,1,0,0,1,1,0,0,0,1,0,5
0,1,0,0,1,0,0,0,1,0,0,0,1,12
1,0,0,0,0,1,0,0,1,0,0,1,0,2
0,1,0,0,0,0,1,1,0,0,0,1,0,7
0,0,0,1,1,0,0,0,1,0,0,0,1,13
1,0,0,0,0,0,1,0,0,1,0,0,1,1
0,0,0,1,0,0,1,0,1,0,0,1,0,14
0,0,0,1,0,1,0,1,0,0,0,0,1,15
0,0,1,0,0,0,1,0,1,0,1,0,0,8
0,0,0,1,0,1,0,0,0,1,1,0,0,11
0,0,0,1,1,0,0,0,0,1,1,0,0,12
0,0,1,0,1,0,0,0,0,1,0,1,0,10
0,1,0,0,0,0,1,1,0,0,1,0,0,5
0,0,1,0,0,1,0,1,0,0,0,0,1,9
0,1,0,0,0,1,0,0,0,1,1,0,0,3
0,1,0,0,0,1,0,0,0,1,0,1,0,4
0,0,0,1,0,0,1,1,0,0,0,1,0,16
0,1,0,0,1,0,0,0,1,0,0,0,1,6
1,0,0,0,0,1,0,0,1,0,0,1,0,7
0,1,0,0,0,0,1,1,0,0,0,1,0,3
0,0,0,1,1,0,0,0,1,0,0,0,1,16
1,0,0,0,0,0,1,0,0,1,0,0,1,1
0,0,0,1,0,0,1,0,1,0,0,1,0,6
0,0,0,1,0,1,0,1,0,0,0,0,1,13
0,0,1,0,0,0,1,0,1,0,1,0,0,4
0,0,0,1,0,1,0,0,0,1,1,0,0,11
0,0,0,1,1,0,0,0,0,1,1,0,0,15
0,0,1,0,1,0,0,0,0,1,0,1,0,14
0,1,0,0,0,0,1,1,0,0,1,0,0,2
0,0,1,0,0,1,0,1,0,0,0,0,1,10
0,1,0,0,0,1,0,0,0,1,1,0,0,8
0,1,0,0,0,1,0,0,0,1,0,1,0,9
0,0,0,1,0,0,1,1,0,0,0,1,0,5
0,1,0,0,1,0,0,0,1,0,0,0,1,12
1,0,0,0,0,1,0,0,1,0,0,1,0,2
0,1,0,0,0,0,1,1,0,0,0,1,0,7
0,0,0,1,1,0,0,0,1,0,0,0,1,13
1,0,0,0,0,0,1,0,0,1,0,0,1,1
0,0,0,1,0,0,1,0,1,0,0,1,0,14
0,0,0,1,0,1,0,1,0,0,0,0,1,15
0,0,1,0,0,0,1,0,1,0,1,0,0,8
0,0,0,1,0,1,0,0,0,1,1,0,0,11
0,0,0,1,1,0,0,0,0,1,1,0,0,12
0,0,1,0,1,0,0,0,0,1,0,1,0,10
0,1,0,0,0,0,1,1,0,0,1,0,0,5
0,0,1,0,0,1,0,1,0,0,0,0,1,9
0,1,0,0,0,1,0,0,0,1,1,0,0,3
0,1,0,0,0,1,0,0,0,1,0,1,0,4
0,0,0,1,0,0,1,1,0,0,0,1,0,16
0,1,0,0,1,0,0,0,1,0,0,0,1,6
1,0,0,0,0,1,0,0,1,0,0,1,0,7
0,1,0,0,0,0,1,1,0,0,0,1,0,3
0,0,0,1,1,0,0,0,1,0,0,0,1,16
1,0,0,0,0,0,1,0,0,1,0,0,1,1
0,0,0,1,0,0,1,0,1,0,0,1,0,6
0,0,0,1,0,1,0,1,0,0,0,0,1,13
0,0,1,0,0,0,1,0,1,0,1,0,0,4
0,0,0,1,0,1,0,0,0,1,1,0,0,11
0,0,0,1,1,0,0,0,0,1,1,0,0,15
0,0,1,0,1,0,0,0,0,1,0,1,0,14
0,1,0,0,0,0,1,1,0,0,1,0,0,2
0,0,1,0,0,1,0,1,0,0,0,0,1,10
0,1,0,0,0,1,0,0,0,1,1,0,0,8
0,1,0,0,0,1,0,0,0,1,0,1,0,9
0,0,0,1,0,0,1,1,0,0,0,1,0,5
0,1,0,0,1,0,0,0,1,0,0,0,1,12
1,0,0,0,0,1,0,0,1,0,0,1,0,2
0,1,0,0,0,0,1,1,0,0,0,1,0,7
0,0,0,1,1,0,0,0,1,0,0,0,1,13
1,0,0,0,0,0,1,0,0,1,0,0,1,1
0,0,0,1,0,0,1,0,1,0,0,1,0,14
0,0,0,1,0,1,0,1,0,0,0,0,1,15
0,0,1,0,0,0,1,0,1,0,1,0,0,8
0,0,0,1,0,1,0,0,0,1,1,0,0,11
0,0,0,1,1,0,0,0,0,1,1,0,0,12
0,0,1,0,1,0,0,0,0,1,0,1,0,10
0,1,0,0,0,0,1,1,0,0,1,0,0,5
0,0,1,0,0,1,0,1,0,0,0,0,1,9
0,1,0,0,0,1,0,0,0,1,1,0,0,3
0,1,0,0,0,1,0,0,0,1,0,1,0,4
0,0,0,1,0,0,1,1,0,0,0,1,0,16
0,1,0,0,1,0,0,0,1,0,0,0,1,6
1,0,0,0,0,1,0,0,1,0,0,1,0,7
0,1,0,0,0,0,1,1,0,0,0,1,0,3
0,0,0,1,1,0,0,0,1,0,0,0,1,16
1,0,0,0,0,0,1,0,0,1,0,0,1,1
0,0,0,1,0,0,1,0,1,0,0,1,0,6
0,0,0,1,0,1,0,1,0,0,0,0,1,13
0,0,1,0,0,0,1,0,1,0,1,0,0,4
0,0,0,1,0,1,0,0,0,1,1,0,0,11
0,0,0,1,1,0,0,0,0,1,1,0,0,15
0,0,1,0,1,0,0,0,0,1,0,1,0,14
0,1,0,0,0,0,1,1,0,0,1,0,0,2
0,0,1,0,0,1,0,1,0,0,0,0,1,10
0,1,0,0,0,1,0,0,0,1,1,0,0,8
0,1,0,0,0,1,0,0,0,1,0,1,0,9
0,0,0,1,0,0,1,1,0,0,0,1,0,5
0,1,0,0,1,0,0,0,1,0,0,0,1,12
1,0,0,0,0,1,0,0,1,0,0,1,0,2
0,1,0,0,0,0,1,1,0,0,0,1,0,7
0,0,0,1,1,0,0,0,1,0,0,0,1,13
1,0,0,0,0,0,1,0,0,1,0,0,1,1
0,0,0,1,0,0,1,0,1,0,0,1,0,14
0,0,0,1,0,1,0,1,0,0,0,0,1,15
0,0,1,0,0,0,1,0,1,0,1,0,0,8
0,0,0,1,0,1,0,0,0,1,1,0,0,11
0,0,0,1,1,0,0,0,0,1,1,0,0,12
0,0,1,0,1,0,0,0,0,1,0,1,0,10
0,1,0,0,0,0,1,1,0,0,1,0,0,5
0,0,1,0,0,1,0,1,0,0,0,0,1,9
0,1,0,0,0,1,0,0,0,1,1,0,0,3
0,1,0,0,0,1,0,0,0,1,0,1,0,4
0,0,0,1,0,0,1,1,0,0,0,1,0,16
0,1,0,0,1,0,0,0,1,0,0,0,1,6
1,0,0,0,0,1,0,0,1,0,0,1,0,7
0,1,0,0,0,0,1,1,0,0,0,1,0,3
0,0,0,1,1,0,0,0,1,0,0,0,1,16
1,0,0,0,0,0,1,0,0,1,0,0,1,1
0,0,0,1,0,0,1,0,1,0,0,1,0,6
0,0,0,1,0,1,0,1,0,0,0,0,1,13
0,0,1,0,0,0,1,0,1,0,1,0,0,4
0,0,0,1,0,1,0,0,0,1,1,0,0,11
0,0,0,1,1,0,0,0,0,1,1,0,0,15
0,0,1,0,1,0,0,0,0,1,0,1,0,14
0,1,0,0,0,0,1,1,0,0,1,0,0,2
0,0,1,0,0,1,0,1,0,0,0,0,1,10
0,1,0,0,0,1,0,0,0,1,1,0,0,8
0,1,0,0,0,1,0,0,0,1,0,1,0,9
0,0,0,1,0,0,1,1,0,0,0,1,0,5
0,1,0,0,1,0,0,0,1,0,0,0,1,12
1,0,0,0,0,1,0,0,1,0,0,1,0,2
0,1,0,0,0,0,1,1,0,0,0,1,0,7
0,0,0,1,1,0,0,0,1,0,0,0,1,13
1,0,0,0,0,0,1,0,0,1,0,0,1,1
0,0,0,1,0,0,1,0,1,0,0,1,0,14
0,0,0,1,0,1,0,1,0,0,0,0,1,15
0,0,1,0,0,0,1,0,1,0,1,0,0,8
0,0,0,1,0,1,0,0,0,1,1,0,0,11
0,0,0,1,1,0,0,0,0,1,1,0,0,12
0,0,1,0,1,0,0,0,0,1,0,1,0,10
0,1,0,0,0,0,1,1,0,0,1,0,0,5
0,0,1,0,0,1,0,1,0,0,0,0,1,9
0,1,0,0,0,1,0,0,0,1,1,0,0,3
0,1,0,0,0,1,0,0,0,1,0,1,0,4
0,0,0,1,0,0,1,1,0,0,0,1,0,16
0,1,0,0,1,0,0,0,1,0,0,0,1,6
1,0,0,0,0,1,0,0,1,0,0,1,0,7
0,1,0,0,0,0,1,1,0,0,0,1,0,3
0,0,0,1,1,0,0,0,1,0,0,0,1,16
1,0,0,0,0,0,1,0,0,1,0,0,1,1
0,0,0,1,0,0,1,0,1,0,0,1,0,6
0,0,0,1,0,1,0,1,0,0,0,0,1,13
0,0,1,0,0,0,1,0,1,0,1,0,0,4
0,0,0,1,0,1,0,0,0,1,1,0,0,11
0,0,0,1,1,0,0,0,0,1,1,0,0,15
0,0,1,0,1,0,0,0,0,1,0,1,0,14
0,1,0,0,0,0,1,1,0,0,1,0,0,2
0,0,1,0,0,1,0,1,0,0,0,0,1,10
0,1,0,0,0,1,0,0,0,1,1,0,0,8
0,1,0,0,0,1,0,0,0,1,0,1,0,9
0,0,0,1,0,0,1,1,0,0,0,1,0,5
0,1,0,0,1,0,0,0,1,0,0,0,1,12
1,0,0,0,0,1,0,0,1,0,0,1,0,2
0,1,0,0,0,0,1,1,0,0,0,1,0,7
0,0,0,1,1,0,0,0,1,0,0,0,1,13
1,0,0,0,0,0,1,0,0,1,0,0,1,1
0,0,0,1,0,0,1,0,1,0,0,1,0,14
0,0,0,1,0,1,0,1,0,0,0,0,1,15
0,0,1,0,0,0,1,0,1,0,1,0,0,8
0,0,0,1,0,1,0,0,0,1,1,0,0,11
0,0,0,1,1,0,0,0,0,1,1,0,0,12
0,0,1,0,1,0,0,0,0,1,0,1,0,10
0,1,0,0,0,0,1,1,0,0,1,0,0,5
0,0,1,0,0,1,0,1,0,0,0,0,1,9
0,1,0,0,0,1,0,0,0,1,1,0,0,3
0,1,0,0,0,1,0,0,0,1,0,1,0,4
0,0,0,1,0,0,1,1,0,0,0,1,0,16
0,1,0,0,1,0,0,0,1,0,0,0,1,6
1,0,0,0,0,1,0,0,1,0,0,1,0,7
0,1,0,0,0,0,1,1,0,0,0,1,0,3
0,0,0,1,1,0,0,0,1,0,0,0,1,16
1,0,0,0,0,0,1,0,0,1,0,0,1,1
0,0,0,1,0,0,1,0,1,0,0,1,0,6
0,0,0,1,0,1,0,1,0,0,0,0,1,13
0,0,1,0,0,0,1,0,1,0,1,0,0,4
0,0,0,1,0,1,0,0,0,1,1,0,0,11
0,0,0,1,1,0,0,0,0,1,1,0,0,15
0,0,1,0,1,0,0,0,0,1,0,1,0,14
0,1,0,0,0,0,1,1,0,0,1,0,0,2
0,0,1,0,0,1,0,1,0,0,0,0,1,10
0,1,0,0,0,1,0,0,0,1,1,0,0,8
0,1,0,0,0,1,0,0,0,1,0,1,0,9
0,0,0,1,0,0,1,1,0,0,0,1,0,5
0,1,0,0,1,0,0,0,1,0,0,0,1,12
1,0,0,0,0,1,0,0,1,0,0,1,0,2
0,1,0,0,0,0,1,1,0,0,0,1,0,7
0,0,0,1,1,0,0,0,1,0,0,0,1,13
1,0,0,0,0,0,1,0,0,1,0,0,1,1
0,0,0,1,0,0,1,0,1,0,0,1,0,14
0,0,0,1,0,1,0,1,0,0,0,0,1,15
0,0,1,0,0,0,1,0,1,0,1,0,0,8
0,0,0,1,0,1,0,0,0,1,1,0,0,11
0,0,0,1,1,0,0,0,0,1,1,0,0,12
0,0,1,0,1,0,0,0,0,1,0,1,0,10
0,1,0,0,0,0,1,1,0,0,1,0,0,5
0,0,1,0,0,1,0,1,0,0,0,0,1,9
0,1,0,0,0,1,0,0,0,1,1,0,0,3
0,1,0,0,0,1,0,0,0,1,0,1,0,4
0,0,0,1,0,0,1,1,0,0,0,1,0,16
0,1,0,0,1,0,0,0,1,0,0,0,1,6
1,0,0,0,0,1,0,0,1,0,0,1,0,7
0,1,0,0,0,0,1,1,0,0,0,1,0,3
0,0,0,1,1,0,0,0,1,0,0,0,1,16
1,0,0,0,0,0,1,0,0,1,0,0,1,1
0,0,0,1,0,0,1,0,1,0,0,1,0,6
0,0,0,1,0,1,0,1,0,0,0,0,1,13
0,0,1,0,0,0,1,0,1,0,1,0,0,4
0,0,0,1,0,1,0,0,0,1,1,0,0,11
0,0,0,1,1,0,0,0,0,1,1,0,0,15
0,0,1,0,1,0,0,0,0,1,0,1,0,14
0,1,0,0,0,0,1,1,0,0,1,0,0,2
0,0,1,0,0,1,0,1,0,0,0,0,1,10
0,1,0,0,0,1,0,0,0,1,1,0,0,8
0,1,0,0,0,1,0,0,0,1,0,1,0,9
0,0,0,1,0,0,1,1,0,0,0,1,0,5
0,1,0,0,1,0,0,0,1,0,0,0,1,12
1,0,0,0,0,1,0,0,1,0,0,1,0,2
0,1,0,0,0,0,1,1,0,0,0,1,0,7
0,0,0,1,1,0,0,0,1,0,0,0,1,13
1,0,0,0,0,0,1,0,0,1,0,0,1,1
0,0,0,1,0,0,1,0,1,0,0,1,0,14
0,0,0,1,0,1,0,1,0,0,0,0,1,15
0,0,1,0,0,0,1,0,1,0,1,0,0,8
0,0,0,1,0,1,0,0,0,1,1,0,0,11
0,0,0,1,1,0,0,0,0,1,1,0,0,12
0,0,1,0,1,0,0,0,0,1,0,1,0,10
0,1,0,0,0,0,1,1,0,0,1,0,0,5
0,0,1,0,0,1,0,1,0,0,0,0,1,9
0,1,0,0,0,1,0,0,0,1,1,0,0,3
0,1,0,0,0,1,0,0,0,1,0,1,0,4
0,0,0,1,0,0,1,1,0,0,0,1,0,16
0,1,0,0,1,0,0,0,1,0,0,0,1,6
1,0,0,0,0,1,0,0,1,0,0,1,0,7
0,1,0,0,0,0,1,1,0,0,0,1,0,3
0,0,0,1,1,0,0,0,1,0,0,0,1,16
1,0,0,0,0,0,1,0,0,1,0,0,1,1
0,0,0,1,0,0,1,0,1,0,0,1,0,6
0,0,0,1,0,1,0,1,0,0,0,0,1,13
0,0,1,0,0,0,1,0,1,0,1,0,0,4
0,0,0,1,0,1,0,0,0,1,1,0,0,11
0,0,0,1,1,0,0,0,0,1,1,0,0,15
0,0,1,0,1,0,0,0,0,1,0,1,0,14
0,1,0,0,0,0,1,1,0,0,1,0,0,2
0,0,1,0,0,1,0,1,0,0,0,0,1,10
0,1,0,0,0,1,0,0,0,1,1,0,0,8
0,1,0,0,0,1,0,0,0,1,0,1,0,9
0,0,0,1,0,0,1,1,0,0,0,1,0,5
0,1,0,0,1,0,0,0,1,0,0,0,1,12